"Marca","Modelo","PastaRelativa","Fotos","Capa","Origem"
"ADIDAS","ADIZERO","adidas/adizero","19","capa","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\ADIZERO"
"ADIDAS","ADVENCED","adidas/advenced","3","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\ADVENCED"
"ADIDAS","CAMPUS","adidas/campus","8","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\CAMPUS"
"ADIDAS","FORUM","adidas/forum","3","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\FORUM"
"ADIDAS","SAMBA","adidas/samba","10","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SAMBA"
"ADIDAS","SAMBAE","adidas/sambae","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SAMBAE"
"ADIDAS","SL 72","adidas/sl-72","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SL 72"
"ADIDAS","SLIP ON","adidas/slip-on","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SLIP ON"
"ADIDAS","SPEZIAL","adidas/spezial","2","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SPEZIAL"
"ADIDAS","SUPER STAR","adidas/super-star","1","capa.jpg","C:\Users\PAULO FRANÇA\Desktop\bros-store-site-main\catalogo-drive\originais\CATALOGO VAREJO\ADIDAS\SUPER STAR"
